----------------------------------------------------------
initial solve
optimisation finished successfully after 129 iterations, 205 evaluations
optimisation finished successfully after 99 iterations, 178 evaluations
optimisation finished successfully after 96 iterations, 170 evaluations
optimisation finished successfully after 123 iterations, 199 evaluations
optimisation finished successfully after 119 iterations, 204 evaluations
optimisation finished successfully after 91 iterations, 178 evaluations
optimisation finished successfully after 104 iterations, 196 evaluations
optimisation finished successfully after 99 iterations, 179 evaluations
optimisation finished successfully after 104 iterations, 194 evaluations
optimisation finished successfully after 66 iterations, 146 evaluations
optimisation finished successfully after 75 iterations, 162 evaluations
optimisation finished successfully after 47 iterations, 130 evaluations
optimisation finished successfully after 61 iterations, 156 evaluations
optimisation finished successfully after 96 iterations, 181 evaluations
optimisation finished successfully after 91 iterations, 171 evaluations
optimisation finished successfully after 96 iterations, 176 evaluations
optimisation finished successfully after 70 iterations, 158 evaluations
optimisation finished successfully after 81 iterations, 161 evaluations
optimisation finished successfully after 91 iterations, 176 evaluations
optimisation finished successfully after 74 iterations, 156 evaluations
optimisation finished successfully after 125 iterations, 213 evaluations
optimisation finished successfully after 96 iterations, 179 evaluations
optimisation finished successfully after 103 iterations, 199 evaluations
optimisation finished successfully after 75 iterations, 168 evaluations
optimisation finished successfully after 59 iterations, 148 evaluations
optimisation finished successfully after 59 iterations, 144 evaluations
optimisation finished successfully after 79 iterations, 168 evaluations
optimisation finished successfully after 62 iterations, 158 evaluations
optimisation finished successfully after 65 iterations, 157 evaluations
optimisation finished successfully after 78 iterations, 167 evaluations
optimisation finished successfully after 60 iterations, 150 evaluations
optimisation finished successfully after 71 iterations, 166 evaluations
optimisation finished successfully after 92 iterations, 192 evaluations
optimisation finished successfully after 101 iterations, 217 evaluations
optimisation finished successfully after 46 iterations, 149 evaluations
optimisation finished successfully after 74 iterations, 180 evaluations
optimisation finished successfully after 119 iterations, 254 evaluations
optimisation finished successfully after 82 iterations, 177 evaluations
optimisation finished successfully after 132 iterations, 235 evaluations
optimisation finished successfully after 63 iterations, 163 evaluations
optimisation finished successfully after 75 iterations, 185 evaluations
optimisation finished successfully after 59 iterations, 151 evaluations
optimisation finished successfully after 99 iterations, 208 evaluations
optimisation finished successfully after 125 iterations, 244 evaluations
optimisation finished successfully after 91 iterations, 202 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 331 iterations, 2000 evaluations
optimisation finished successfully after 199 iterations, 337 evaluations
optimisation finished successfully after 104 iterations, 203 evaluations
optimisation finished successfully after 82 iterations, 184 evaluations
optimisation finished successfully after 79 iterations, 168 evaluations
optimisation finished successfully after 95 iterations, 197 evaluations
optimisation finished successfully after 90 iterations, 179 evaluations
optimisation finished successfully after 73 iterations, 171 evaluations
optimisation finished successfully after 89 iterations, 187 evaluations
optimisation finished successfully after 114 iterations, 219 evaluations
optimisation finished successfully after 91 iterations, 186 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 277 iterations, 2000 evaluations
optimisation finished successfully after 64 iterations, 153 evaluations
optimisation finished successfully after 91 iterations, 186 evaluations
optimisation finished successfully after 78 iterations, 170 evaluations
optimisation finished successfully after 63 iterations, 160 evaluations
optimisation finished successfully after 96 iterations, 199 evaluations
optimisation finished successfully after 43 iterations, 142 evaluations
optimisation finished successfully after 81 iterations, 200 evaluations
optimisation finished successfully after 136 iterations, 279 evaluations
optimisation finished successfully after 91 iterations, 193 evaluations
optimisation finished successfully after 133 iterations, 252 evaluations
optimisation finished successfully after 77 iterations, 170 evaluations
optimisation finished successfully after 89 iterations, 194 evaluations
optimisation finished successfully after 123 iterations, 227 evaluations
optimisation finished successfully after 50 iterations, 144 evaluations
optimisation finished successfully after 142 iterations, 266 evaluations
optimisation finished successfully after 75 iterations, 173 evaluations
optimisation finished successfully after 63 iterations, 152 evaluations
optimisation finished successfully after 74 iterations, 190 evaluations
optimisation finished successfully after 162 iterations, 288 evaluations
optimisation finished successfully after 133 iterations, 258 evaluations
optimisation finished successfully after 75 iterations, 192 evaluations
optimisation finished successfully after 64 iterations, 184 evaluations
optimisation finished successfully after 74 iterations, 184 evaluations
optimisation finished successfully after 89 iterations, 188 evaluations
optimisation finished successfully after 80 iterations, 186 evaluations
optimisation finished successfully after 100 iterations, 203 evaluations
optimisation finished successfully after 77 iterations, 180 evaluations
optimisation finished successfully after 87 iterations, 193 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 587 iterations, 2000 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 539 iterations, 2000 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 261 iterations, 2000 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 213 iterations, 2000 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 315 iterations, 2000 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 219 iterations, 2000 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 704 iterations, 2000 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 628 iterations, 2000 evaluations
optimisation finished successfully after 323 iterations, 556 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 323 iterations, 2000 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 231 iterations, 2000 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 586 iterations, 2000 evaluations
optimisation finished successfully after 142 iterations, 272 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 772 iterations, 2000 evaluations
optimisation finished successfully after 207 iterations, 376 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 265 iterations, 2000 evaluations
optimisation finished successfully after 73 iterations, 217 evaluations
optimisation finished successfully after 173 iterations, 301 evaluations
optimisation finished successfully after 46 iterations, 145 evaluations
optimisation finished successfully after 87 iterations, 184 evaluations
optimisation finished successfully after 78 iterations, 173 evaluations
optimisation finished successfully after 143 iterations, 273 evaluations
optimisation finished successfully after 66 iterations, 175 evaluations
optimisation finished successfully after 109 iterations, 215 evaluations
optimisation finished successfully after 111 iterations, 235 evaluations
optimisation finished successfully after 152 iterations, 265 evaluations
optimisation finished successfully after 68 iterations, 160 evaluations
optimisation finished successfully after 107 iterations, 218 evaluations
optimisation finished successfully after 91 iterations, 186 evaluations
optimisation finished successfully after 86 iterations, 186 evaluations
optimisation finished successfully after 105 iterations, 217 evaluations
optimisation finished successfully after 52 iterations, 154 evaluations
optimisation finished successfully after 108 iterations, 225 evaluations
optimisation finished successfully after 97 iterations, 194 evaluations
optimisation finished successfully after 120 iterations, 243 evaluations
optimisation finished successfully after 77 iterations, 173 evaluations
optimisation finished successfully after 112 iterations, 225 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 817 iterations, 2000 evaluations
