----------------------------------------------------------
initial solve
optimisation failed with message Maximum number of function evaluations has been exceeded. after 574 iterations, 1600 evaluations
optimisation finished successfully after 103 iterations, 196 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 266 iterations, 2000 evaluations
optimisation finished successfully after 105 iterations, 193 evaluations
optimisation finished successfully after 146 iterations, 272 evaluations
optimisation finished successfully after 101 iterations, 213 evaluations
optimisation finished successfully after 104 iterations, 214 evaluations
optimisation finished successfully after 193 iterations, 332 evaluations
optimisation finished successfully after 110 iterations, 233 evaluations
optimisation finished successfully after 96 iterations, 221 evaluations
optimisation finished successfully after 133 iterations, 255 evaluations
optimisation finished successfully after 110 iterations, 225 evaluations
optimisation finished successfully after 112 iterations, 232 evaluations
optimisation finished successfully after 110 iterations, 224 evaluations
optimisation finished successfully after 75 iterations, 174 evaluations
optimisation finished successfully after 90 iterations, 193 evaluations
optimisation finished successfully after 102 iterations, 200 evaluations
optimisation finished successfully after 96 iterations, 195 evaluations
optimisation finished successfully after 99 iterations, 223 evaluations
optimisation finished successfully after 83 iterations, 178 evaluations
optimisation finished successfully after 97 iterations, 187 evaluations
optimisation finished successfully after 62 iterations, 167 evaluations
optimisation finished successfully after 97 iterations, 212 evaluations
optimisation finished successfully after 107 iterations, 214 evaluations
optimisation finished successfully after 85 iterations, 187 evaluations
optimisation finished successfully after 85 iterations, 184 evaluations
optimisation finished successfully after 119 iterations, 227 evaluations
optimisation finished successfully after 116 iterations, 223 evaluations
optimisation finished successfully after 112 iterations, 233 evaluations
optimisation finished successfully after 69 iterations, 166 evaluations
optimisation finished successfully after 88 iterations, 209 evaluations
optimisation finished successfully after 71 iterations, 183 evaluations
optimisation finished successfully after 119 iterations, 229 evaluations
optimisation finished successfully after 103 iterations, 223 evaluations
optimisation finished successfully after 98 iterations, 209 evaluations
optimisation finished successfully after 63 iterations, 162 evaluations
optimisation finished successfully after 58 iterations, 165 evaluations
optimisation failed with message Maximum number of function evaluations has been exceeded. after 816 iterations, 2000 evaluations
optimisation finished successfully after 185 iterations, 342 evaluations
optimisation finished successfully after 87 iterations, 191 evaluations
optimisation finished successfully after 146 iterations, 270 evaluations
optimisation finished successfully after 96 iterations, 221 evaluations
optimisation finished successfully after 86 iterations, 193 evaluations
optimisation finished successfully after 44 iterations, 145 evaluations
optimisation finished successfully after 55 iterations, 168 evaluations
optimisation finished successfully after 90 iterations, 214 evaluations
optimisation finished successfully after 76 iterations, 182 evaluations
optimisation finished successfully after 70 iterations, 165 evaluations
optimisation finished successfully after 166 iterations, 299 evaluations
optimisation finished successfully after 68 iterations, 162 evaluations
optimisation finished successfully after 122 iterations, 241 evaluations
optimisation finished successfully after 99 iterations, 195 evaluations
optimisation finished successfully after 107 iterations, 210 evaluations
optimisation finished successfully after 115 iterations, 229 evaluations
optimisation finished successfully after 104 iterations, 203 evaluations
optimisation finished successfully after 156 iterations, 287 evaluations
optimisation finished successfully after 74 iterations, 189 evaluations
optimisation finished successfully after 46 iterations, 144 evaluations
optimisation finished successfully after 125 iterations, 249 evaluations
optimisation finished successfully after 115 iterations, 236 evaluations
optimisation finished successfully after 77 iterations, 171 evaluations
optimisation finished successfully after 100 iterations, 200 evaluations
optimisation finished successfully after 139 iterations, 251 evaluations
optimisation finished successfully after 174 iterations, 308 evaluations
optimisation finished successfully after 108 iterations, 207 evaluations
optimisation finished successfully after 128 iterations, 236 evaluations
optimisation finished successfully after 91 iterations, 198 evaluations
optimisation finished successfully after 116 iterations, 222 evaluations
optimisation finished successfully after 85 iterations, 188 evaluations
optimisation finished successfully after 104 iterations, 223 evaluations
optimisation finished successfully after 81 iterations, 176 evaluations
optimisation finished successfully after 130 iterations, 238 evaluations
optimisation finished successfully after 80 iterations, 179 evaluations
optimisation finished successfully after 61 iterations, 156 evaluations
optimisation finished successfully after 123 iterations, 232 evaluations
optimisation finished successfully after 105 iterations, 221 evaluations
optimisation finished successfully after 93 iterations, 209 evaluations
optimisation finished successfully after 116 iterations, 229 evaluations
optimisation finished successfully after 103 iterations, 235 evaluations
optimisation finished successfully after 126 iterations, 241 evaluations
optimisation finished successfully after 143 iterations, 286 evaluations
optimisation finished successfully after 135 iterations, 249 evaluations
optimisation finished successfully after 156 iterations, 269 evaluations
optimisation finished successfully after 101 iterations, 196 evaluations
optimisation finished successfully after 69 iterations, 175 evaluations
optimisation finished successfully after 86 iterations, 210 evaluations
optimisation finished successfully after 84 iterations, 194 evaluations
optimisation finished successfully after 118 iterations, 232 evaluations
optimisation finished successfully after 86 iterations, 188 evaluations
optimisation finished successfully after 77 iterations, 181 evaluations
optimisation finished successfully after 89 iterations, 186 evaluations
optimisation finished successfully after 113 iterations, 229 evaluations
optimisation finished successfully after 76 iterations, 182 evaluations
optimisation finished successfully after 93 iterations, 202 evaluations
optimisation finished successfully after 98 iterations, 213 evaluations
optimisation finished successfully after 116 iterations, 233 evaluations
optimisation finished successfully after 77 iterations, 191 evaluations
optimisation finished successfully after 103 iterations, 214 evaluations
optimisation finished successfully after 70 iterations, 172 evaluations
optimisation finished successfully after 98 iterations, 208 evaluations
optimisation finished successfully after 106 iterations, 212 evaluations
optimisation finished successfully after 72 iterations, 172 evaluations
